BirdID,Start,End,WNSame
251,2018-04-17 05:01:45.000,2018-05-03 11:01:36.000,N
258,2018-04-16 17:00:45.000,2018-04-21 17:00:15.000,N
260,2018-04-10 11:00:12.000,2018-04-19 11:00:12.000,Y
280,2018-04-12 16:00:43.000,2018-04-17 17:00:46.000,N
286,2018-04-07 23:00:18.000,2018-04-23 23:01:03.000,N
354,2018-04-16 16:00:12.000,2018-04-25 16:00:46.000,N
355,2018-04-15 16:00:18.000,2018-04-19 16:00:43.000,N
361,2018-04-18 17:00:08.000,2018-04-24 17:00:45.000,N
10376,2018-04-02 19:00:43.000,2018-04-23 20:01:37.000,Y
354,2019-04-05 19:00:43.000,2019-04-14 19:00:44.000,N
375,2019-03-20 05:00:43.000,2019-03-24 05:00:44.000,Y
393,2019-04-19 05:00:46.000,2019-05-14 05:00:43.000,N
398,2019-04-19 23:00:35.000,2019-04-26 23:00:16.000,N
409,2019-04-21 10:00:35.000,2019-04-26 10:00:33.000,N
410,2019-03-18 23:00:12.000,2019-03-22 20:00:06.000,N
426,2019-03-19 23:00:11.000,2019-03-31 23:00:33.000,Y
435,2019-04-29 23:00:04.000,2019-05-03 23:00:04.000,N
436,2019-05-01 13:00:04.000,2019-05-05 13:00:53.000,Y
447,2019-04-21 12:01:03.000,2019-04-23 12:01:07.000,N
833,2019-04-18 22:00:33.000,2019-04-21 22:00:35.000,Y
409,2020-03-12 11:00:05.000,2020-03-23 10:00:59.000,Y
420,2020-04-06 11:00:12.000,2020-04-14 11:00:06.000,Y
426,2020-03-27 14:00:36.000,2020-04-11 14:01:08.000,N
436,2020-03-17 19:00:05.000,2020-04-04 19:01:05.000,N
826,2020-03-27 19:54:28.000,2020-03-30 20:54:18.000,N
839,2020-03-28 17:56:40.000,2020-04-11 17:55:58.000,N
840,2020-03-28 19:55:12.000,2020-03-31 19:55:00.000,N
1521,2020-04-03 23:00:33.000,2020-04-11 23:00:05.000,N
1525,2020-04-05 12:00:05.000,2020-04-06 17:00:14.000,N
1553,2020-04-07 11:00:13.000,2020-04-12 17:00:10.000,Y
1563,2020-04-08 04:56:28.000,2020-04-15 04:56:02.000,N
1616,2020-04-18 10:57:35.000,2020-04-20 19:57:28.000,Y
1617,2020-04-06 10:57:39.000,2020-04-08 18:57:26.000,N
1622,2020-04-05 22:58:42.000,2020-04-08 14:58:31.000,N
1626,2020-03-20 14:59:45.000,2020-04-04 16:58:51.000,N
