"WMD","Area","EstA","EstJ","TotalTurk","Avail","JDens","ADens"
0,629029403.365,3.78488012576464,14.2331888935971,19,"N",2.26272234929822e-08,6.01701622454749e-09
1,3735060214.5,32.5314014755622,127.141049334101,160,"N",3.40398928082933e-08,8.70973949744396e-09
2,3138342161.72,35.433557647527,124.099392746541,160,"N",3.95429772636795e-08,1.12905336071154e-08
3,2623764138.27,39.7807897301034,125.409639130738,166,"N",4.77976039467587e-08,1.51617247716227e-08
4,5456046439.03,23.9594367963643,115.47941030912,140,"N",2.11654009179677e-08,4.39135499745195e-09
5,4133868876.54,53.8565563127045,193.937914767645,248,"N",4.6914384698619e-08,1.3028123997436e-08
6,3717839201.91,70.7613209940012,208.393180390112,280,"N",5.6052230629838e-08,1.90329159361299e-08
7,3816310817.79,48.18293333,121.858,171,"Y",3.19308373500267e-08,1.26255264915509e-08
8,5623739657.08,21.2128,196.0036,218,"Y",3.48528936173711e-08,3.77200960455098e-09
9,3016185128.35,15.1132,22.55475556,38,"Y",7.47790821856434e-09,5.01070039035291e-09
10,2581003473.62,18.12724444,97.50137778,116,"Y",3.77765387674e-08,7.02333205874207e-09
11,4581758387.03,87.20422222,256.8177778,345,"Y",5.6052230629838e-08,1.90329159361299e-08
12,2626033500.13,381.5045333,661.144,1043,"Y",2.51765257361443e-07,1.45277862327771e-07
13,1514674620.13,122.2141778,416.9023556,540,"Y",2.75242187371053e-07,8.06867535613099e-08
14,2163595499.84,68.76613333,461.1048444,530,"Y",2.13119709499349e-07,3.17832669438836e-08
15,2856041233.3,1278.177867,3006.748178,4285,"Y",1.05276777622915e-06,4.47534808705522e-07
16,2320075422.46,845.2924889,2232.836667,3079,"Y",9.62398310582722e-07,3.64338366208685e-07
17,3755932530.48,711.4470222,2627.269289,3339,"Y",6.9949853137118e-07,1.89419542663904e-07
18,3409471015.44,125.4857778,337.5799556,464,"Y",9.90124139701579e-08,3.68050578027295e-08
19,3370856179.99,33.48,87.60217778,122,"Y",2.59881089854922e-08,9.93219473400948e-09
20,1724077414.58,1119.481422,2740.602489,3861,"Y",1.58960523803836e-06,6.49322015666399e-07
21,1803443162.98,1190.497733,3094.916978,4286,"Y",1.71611561790834e-06,6.60124897439422e-07
22,1608598795.9,796.5727111,2318.5324,3116,"Y",1.44133665020108e-06,4.95196635189773e-07
23,2417002272.36,1166.498667,3663.532044,4831,"Y",1.51573380211301e-06,4.82622081220061e-07
24,950902196.351,357.9968,566.7244444,925,"Y",5.95986050484217e-07,3.76481200036954e-07
25,2173034540.65,1785.9248,4662.457822,6449,"Y",2.14559765838115e-06,8.21857529915651e-07
26,91701.0971898,540.3671111,1315.631956,1856,"Y",0.0143469598109273,0.00589270060729552
27,119766.42632075,705.747693113898,1718.28410512219,2425,"N",0.0143469598109273,0.00589270060729552
28,3015683878.48,114.9976444,175.8591111,291,"Y",5.8314836099014e-08,3.81331893639868e-08
